codigo_linha,linha,codigo_coluna,coluna,chi2,p,v_cramer,n,p_ajustado,significativo
adc1[SQ003],aula oficina escola básica,CE14,Tempo_Vinculo,39.784264847235356,0.02255560775593079,0.051661751893754715,1481,0.07108578330646656,False
adc1[SQ004],comissão técnica ou conselho prof.,CE02,Sexo,10.752255321465265,0.09634176695383798,0.05681423841962599,1472,0.2091630466760956,False
adc1[SQ004],comissão técnica ou conselho prof.,CE03,Escolaridade_Mae,33.93572598453901,0.5671171801398663,0.0,1494,0.673196652684014,False
adc1[SQ004],comissão técnica ou conselho prof.,CE04,Cor_Raca,22.360051205558854,0.5577861187554871,0.0,1449,0.673196652684014,False
adc1[SQ004],comissão técnica ou conselho prof.,CE05,Religiao,82.64131110884463,0.027964064989551278,0.05103812222129788,1452,0.08094860918028002,False
adc1[SQ004],comissão técnica ou conselho prof.,CE06,Importancia_Religiao,41.35654802050381,0.0013590309492519995,0.08515078914906964,1076,0.008008575236663568,True
adc1[SQ004],comissão técnica ou conselho prof.,CE10,Ciencia_BasicaXAplicada,62.24567389613463,8.827765614792141e-07,0.09947700963737538,1493,1.2138177720339194e-05,True
adc1[SQ004],comissão técnica ou conselho prof.,CE07,Orientacao_Politica,29.454422894155154,0.4938306297625258,0.0,1425,0.6267850300832059,False
adc1[SQ004],comissão técnica ou conselho prof.,CE08,Nivel_Bolsa_CNPq,38.04908857543501,0.14849323775334758,0.032850671052905976,1493,0.26924598054178406,False
adc1[SQ004],comissão técnica ou conselho prof.,CE11,GdeArea_CNPq,82.69137619477641,0.0001808233024160577,0.06760127717742058,1489,0.0016575469388138623,True
adc1[SQ004],comissão técnica ou conselho prof.,CE13,Regiao_Geografica,56.282680704035144,0.0002097100084399036,0.07370270849353248,1489,0.0017301075696292047,True
adc1[SQ004],comissão técnica ou conselho prof.,CE14,Tempo_Vinculo,28.939218802516706,0.22242675855727104,0.028866570201647245,1481,0.35631471031019146,False
adc1[SQ005],Pint of Science,CE02,Sexo,6.016468151623825,0.4213478378721052,0.0029342422551986674,1424,0.5561791459911789,False
adc1[SQ005],Pint of Science,CE03,Escolaridade_Mae,45.461947696348744,0.13410727445378184,0.033049243234887934,1446,0.25590291300440987,False
adc1[SQ005],Pint of Science,CE04,Cor_Raca,14.922974408447688,0.9229922462602459,0.0,1403,0.9518357539558786,False
adc1[SQ005],Pint of Science,CE05,Religiao,78.12428623261175,0.05800354373104216,0.04639585978198977,1406,0.1472397648557224,False
adc1[SQ005],Pint of Science,CE06,Importancia_Religiao,30.33058670998155,0.0343538010377005,0.06294284556934256,1039,0.09773064088311349,False
adc1[SQ005],Pint of Science,CE10,Ciencia_BasicaXAplicada,19.771570621167328,0.3458258641925324,0.020172166362947073,1444,0.49173357169302534,False
adc1[SQ005],Pint of Science,CE07,Orientacao_Politica,31.097091710602815,0.4106450657349246,0.012493172962903807,1383,0.5553806216906767,False
adc1[SQ005],Pint of Science,CE08,Nivel_Bolsa_CNPq,52.33382102173904,0.00700929991721427,0.05568835741943044,1444,0.030435118061588277,True
adc1[SQ005],Pint of Science,CE11,GdeArea_CNPq,34.06660449425578,0.8031706505687799,0.0,1439,0.875943791494318,False
adc1[SQ005],Pint of Science,CE13,Regiao_Geografica,30.150343584430363,0.17981869424239866,0.032666491204348315,1441,0.30587716030923484,False
adc1[SQ005],Pint of Science,CE14,Tempo_Vinculo,24.563105076007858,0.4298031101105933,0.009786565078926932,1430,0.5628374060972055,False
adc1[SQ006],Dia Ciência Semana Nacional C&T,CE02,Sexo,5.153596577145657,0.5242697077649956,0.0,1463,0.6504097878287539,False
adc1[SQ006],Dia Ciência Semana Nacional C&T,CE03,Escolaridade_Mae,45.271262398575736,0.13831451473822348,0.03228058493481404,1485,0.256425785750639,False
adc1[SQ006],Dia Ciência Semana Nacional C&T,CE04,Cor_Raca,74.65587469099569,4.2198741696447193e-07,0.09389373333273514,1440,6.962792379913787e-06,True
adc1[SQ006],Dia Ciência Semana Nacional C&T,CE05,Religiao,102.7924620729268,0.0004889619588792817,0.07039115631378243,1444,0.0033616134672950623,True
adc1[SQ006],Dia Ciência Semana Nacional C&T,CE06,Importancia_Religiao,24.88692908617882,0.12806260158023847,0.046370885228825966,1068,0.25590291300440987,False
adc1[SQ006],Dia Ciência Semana Nacional C&T,CE10,Ciencia_BasicaXAplicada,28.444007558742737,0.05561196354070949,0.04843918421935593,1485,0.14565038070185818,False
adc1[SQ006],Dia Ciência Semana Nacional C&T,CE07,Orientacao_Politica,32.41054201687897,0.34868380538232707,0.018390189754648612,1418,0.49173357169302534,False
adc1[SQ006],Dia Ciência Semana Nacional C&T,CE08,Nivel_Bolsa_CNPq,49.532172615185836,0.013863883890472026,0.05136670038103361,1484,0.054186972823871714,False
adc1[SQ006],Dia Ciência Semana Nacional C&T,CE11,GdeArea_CNPq,69.99200791192509,0.004304496102607542,0.05623061735371582,1480,0.020889466380301307,True
adc1[SQ006],Dia Ciência Semana Nacional C&T,CE13,Regiao_Geografica,43.59765980899396,0.008493978917615759,0.057570832154711135,1481,0.035936064651451285,True
adc1[SQ006],Dia Ciência Semana Nacional C&T,CE14,Tempo_Vinculo,41.06065887740162,0.016403499390445418,0.05389461168500705,1471,0.06009015557982458,False
